ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,inst_executed,inst,279498240
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,gld_transactions,transactions,63841712
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,gst_transactions,transactions,0
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,local_load_transactions,transactions,0
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,local_store_transactions,transactions,0
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,shared_load_transactions,transactions,10541569
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,shared_store_transactions,transactions,8225280
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,l2_read_transactions,transactions,134598574
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,l2_write_transactions,transactions,111931862
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,dram_read_transactions,transactions,35978611
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,dram_write_transactions,transactions,13105298
0,95642,picongpu,127.0.0.1,ComputeCurrent,2020-Oct-25 19:59:36,1,16,Command line profiler metrics,time,us,4010
